model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
resnet50,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,98.68,99.37,98.91,99.14,2.07,1.09,6171,39,68,1842,0.221,0.049,0.181,1.022,0.005,0.002,0.003,0.075,0.033,0.012,0.023,0.579,1.907,0.864,0.8,6.771,1.127,0.929,0.481,8.391,6.087,1.216,5.258,15.703,0.25,0.06,0.2,0.929,9.848,2.427,7.54,24.802
resnet50,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,98.37,98.97,98.91,98.94,3.4,1.09,6171,64,68,1817,0.257,0.07,0.181,1.877,0.006,0.008,0.002,0.558,0.055,0.017,0.038,0.619,5.148,2.428,1.883,21.943,2.037,1.507,0.795,11.795,10.803,2.75,5.219,24.564,0.316,0.091,0.216,1.229,19.101,5.365,9.45,41.122
resnet50,int8,INT8,raw,1,raw,SmokeFire_unified,8120,74.26,99.31,66.97,79.99,1.54,33.03,4178,29,2061,1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.324,1.061,2.859,12.338,0.976,0.722,0.441,6.152,6.298,1.372,5.28,15.999,0.264,0.071,0.202,2.834,12.113,2.551,9.376,26.077
resnet50,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,98.63,99.37,98.85,99.11,2.07,1.15,6167,39,72,1842,0.215,0.018,0.182,0.432,0.004,0.002,0.002,0.054,0.033,0.005,0.024,0.13,1.798,0.792,0.795,6.63,1.014,0.787,0.478,5.726,25.179,4.106,20.859,109.085,1.402,0.803,1.003,7.047,31.342,4.917,25.508,115.54
resnet50,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,98.33,98.99,98.83,98.91,3.35,1.17,6166,63,73,1818,0.22,0.023,0.192,0.691,0.004,0.002,0.003,0.09,0.051,0.01,0.04,0.394,4.87,2.095,1.87,14.99,1.95,1.48,0.812,10.873,44.945,5.526,39.064,69.588,1.641,0.7,1.2,6.972,55.805,6.822,45.719,80.926
resnet50,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,73.08,99.2,65.49,78.9,1.75,34.51,4086,33,2153,1848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.529,0.642,2.827,8.849,0.893,0.667,0.452,5.705,25.868,5.313,21.037,261.394,1.488,0.869,1.076,7.712,33.559,6.054,27.318,274.289
resnet50,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,98.63,99.37,98.85,99.11,2.07,1.15,6167,39,72,1842,0.266,0.072,0.176,2.331,0.006,0.004,0.002,0.218,0.038,0.011,0.024,0.399,2.179,1.065,0.82,14.134,1.222,0.891,0.486,6.754,9.97,2.204,4.823,24.017,0.314,0.082,0.207,1.395,14.245,3.317,7.017,31.686
resnet50,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,98.33,98.99,98.83,98.91,3.35,1.17,6166,63,73,1818,0.249,0.041,0.196,1.377,0.005,0.005,0.003,0.383,0.062,0.019,0.042,0.494,5.205,2.356,2.15,26.706,2.166,1.767,0.826,12.29,19.431,5.888,8.627,40.771,0.332,0.075,0.23,1.839,27.94,7.555,13.184,64.958
resnet50,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,73.04,99.2,65.44,78.86,1.75,34.56,4083,33,2156,1848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.371,1.302,2.945,14.506,1.223,0.791,0.479,6.099,11.143,3.007,4.883,24.498,0.351,0.085,0.209,1.27,18.405,4.224,8.959,35.332
vgg16,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,98.3,98.93,98.86,98.89,3.56,1.14,6168,67,71,1814,0.235,0.044,0.185,2.429,0.005,0.004,0.003,0.378,0.036,0.01,0.024,0.401,1.972,0.873,0.912,8.146,1.216,0.993,0.533,7.409,12.326,3.127,5.943,31.791,0.284,0.057,0.205,2.103,16.319,4.223,8.233,45.858
vgg16,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.87,98.3,98.94,98.62,5.69,1.06,6173,107,66,1774,0.261,0.052,0.196,3.412,0.005,0.002,0.003,0.073,0.067,0.019,0.042,0.545,5.429,2.506,2.023,21.435,2.335,1.938,0.846,13.916,22.186,6.869,10.453,49.8,0.324,0.065,0.228,1.573,31.112,8.686,14.942,69.176
vgg16,int8,INT8,raw,1,raw,SmokeFire_unified,8120,67.54,98.1,58.89,73.6,3.77,41.11,3674,71,2565,1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142,0.877,3.023,17.435,1.213,0.932,0.477,6.563,13.826,4.487,5.984,28.626,0.311,0.063,0.208,3.228,19.783,5.179,10.393,40.89
vgg16,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,98.21,98.86,98.81,98.84,3.77,1.19,6165,71,74,1810,0.283,0.047,0.2,2.07,0.006,0.003,0.003,0.1,0.045,0.012,0.026,0.415,2.553,1.218,0.886,12.919,2.179,1.691,0.566,15.539,41.597,7.071,35.305,298.791,2.071,0.754,1.12,10.103,50.077,8.621,39.289,304.694
vgg16,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.88,98.36,98.89,98.63,5.48,1.11,6170,103,69,1778,0.29,0.042,0.204,1.429,0.006,0.005,0.003,0.321,0.076,0.018,0.042,0.56,6.725,3.105,2.199,30.78,3.813,2.56,0.887,23.027,83.94,9.971,73.166,137.808,2.398,0.836,1.25,8.607,98.915,12.488,81.872,173.203
vgg16,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,68.29,97.98,59.96,74.4,4.09,40.04,3741,77,2498,1804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.203,0.864,3.072,12.594,1.675,1.106,0.514,7.467,39.757,4.988,35.378,226.062,1.818,0.39,1.14,7.661,48.833,5.451,42.402,238.368
vgg16,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,98.2,98.85,98.81,98.83,3.83,1.19,6165,72,74,1809,0.265,0.041,0.192,1.011,0.007,0.003,0.003,0.093,0.043,0.015,0.027,0.518,2.228,1.056,0.941,11.519,1.513,1.289,0.556,9.753,21.949,7.466,10.789,48.101,0.329,0.074,0.219,1.89,26.607,8.25,13.255,57.296
vgg16,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.88,98.36,98.89,98.63,5.48,1.11,6170,103,69,1778,0.278,0.038,0.198,0.929,0.006,0.002,0.004,0.098,0.074,0.02,0.042,0.614,5.927,2.726,2.19,21.134,3.028,2.295,0.924,11.196,31.189,7.435,19.991,61.296,0.343,0.057,0.231,1.398,41.373,9.012,24.616,78.637
vgg16,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,68.3,97.98,59.98,74.41,4.09,40.02,3742,77,2497,1804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.922,2.945,8.915,1.707,1.115,0.512,7.823,23.824,8.409,10.927,50.393,0.34,0.066,0.219,1.524,30.612,9.068,15.447,62.419
