model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms,dataset_folder,run_folder
vgg16,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,67.49,99.29,59.81,74.65,1.72,40.19,2936,21,1973,1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.132,0.862,3.023,17.435,1.229,0.94,0.487,6.563,14.296,4.737,5.984,28.463,0.313,0.055,0.208,1.019,20.264,5.354,10.393,39.656,FireSmokeDataset,vgg16_int8_raw
alexnet,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,84.31,97.5,82.52,89.39,8.5,17.48,4051,104,858,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.423,0.628,2.881,13.86,0.658,0.331,0.482,3.333,6.676,1.114,5.983,19.562,0.244,0.034,0.2,0.715,11.238,1.736,9.932,27.176,FireSmokeDataset,alexnet_tensorrt_raw
resnet34,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,97.91,98.68,98.72,98.7,5.31,1.28,4846,65,63,1159,0.236,0.058,0.188,0.978,0.005,0.008,0.003,0.569,0.035,0.012,0.025,0.492,1.921,0.901,0.807,6.796,1.131,0.905,0.477,7.507,7.352,1.603,4.023,19.574,0.268,0.077,0.202,1.615,11.173,2.707,6.684,27.467,FireSmokeDataset,resnet34_tensorrt_crops1
resnet50,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.86,99.67,98.9,99.28,1.31,1.1,4855,16,54,1208,0.221,0.049,0.181,1.022,0.005,0.002,0.003,0.043,0.033,0.011,0.023,0.421,1.892,0.84,0.8,6.546,1.126,0.929,0.481,8.391,6.079,1.191,5.258,15.703,0.25,0.06,0.2,0.929,9.824,2.389,7.574,24.802,FireSmokeDataset,resnet50_int8_crops1
resnet18,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.71,99.29,99.1,99.19,2.86,0.9,4865,35,44,1189,0.213,0.047,0.175,1.143,0.005,0.002,0.002,0.054,0.032,0.013,0.022,0.621,1.862,0.839,0.843,6.943,1.128,0.942,0.467,7.088,5.01,1.088,4.248,12.161,0.241,0.063,0.196,1.273,8.712,2.312,6.501,21.379,FireSmokeDataset,resnet18_tensorrt_crops1
vgg16,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,68.32,99.11,60.97,75.5,2.21,39.03,2993,27,1916,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066,0.772,3.072,11.874,1.595,1.073,0.514,7.467,39.912,4.84,35.623,226.062,1.774,0.215,1.14,7.661,48.719,5.099,42.597,238.368,FireSmokeDataset,vgg16_pytorch_raw
vgg16,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.52,99.45,98.7,99.07,2.21,1.3,4845,27,64,1197,0.281,0.05,0.2,2.07,0.006,0.003,0.003,0.1,0.044,0.012,0.026,0.415,2.583,1.266,0.886,12.919,2.216,1.737,0.566,15.539,42.304,7.474,35.703,298.791,2.108,0.777,1.229,10.103,50.878,9.115,40.905,304.694,FireSmokeDataset,vgg16_pytorch_crops1
resnet50,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.79,99.69,98.8,99.24,1.23,1.2,4850,15,59,1209,0.217,0.018,0.182,0.432,0.004,0.002,0.002,0.054,0.033,0.006,0.025,0.13,1.785,0.779,0.823,5.232,1.009,0.782,0.478,5.726,25.12,4.036,20.859,109.085,1.397,0.796,1.003,6.507,31.256,4.868,25.508,115.54,FireSmokeDataset,resnet50_pytorch_crops1
resnet50,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,72.74,99.45,66.31,79.56,1.47,33.69,3255,18,1654,1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.402,1.3,2.945,14.506,1.222,0.79,0.482,6.099,11.213,3.082,4.883,24.498,0.351,0.083,0.209,1.27,18.507,4.296,8.959,35.332,FireSmokeDataset,resnet50_tensorrt_raw
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.08,99.08,98.51,98.79,3.68,1.49,4836,45,73,1179,0.216,0.032,0.191,0.931,0.005,0.002,0.002,0.081,0.031,0.007,0.024,0.309,1.846,0.831,0.803,7.437,1.142,0.959,0.481,6.784,19.492,2.012,17.905,88.879,2.491,1.991,1.04,8.179,27.433,3.919,22.801,96.439,FireSmokeDataset,mobilenet_v2_pytorch_crops1
resnet34,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,78.35,98.75,73.88,84.53,3.76,26.12,3627,46,1282,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.293,1.219,2.928,15.935,1.582,1.23,0.482,11.373,26.218,5.67,18.123,105.907,1.82,1.105,1.077,7.728,35.552,7.31,24.452,116.219,FireSmokeDataset,resnet34_pytorch_raw
vgg16,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,68.34,99.11,60.99,75.51,2.21,39.01,2994,27,1915,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.459,0.934,2.945,8.915,1.742,1.12,0.512,7.823,23.89,8.445,10.927,50.393,0.34,0.066,0.219,1.524,30.742,9.109,15.571,62.419,FireSmokeDataset,vgg16_tensorrt_raw
resnet18,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.71,99.29,99.1,99.19,2.86,0.9,4865,35,44,1189,0.215,0.025,0.185,0.613,0.005,0.005,0.003,0.385,0.032,0.007,0.024,0.201,1.788,0.816,0.84,9.317,1.026,0.799,0.488,6.484,15.413,4.514,10.139,50.471,2.289,1.92,1.061,8.981,21.955,6.007,14.179,57.729,FireSmokeDataset,resnet18_pytorch_crops1
resnet50,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,73.93,99.46,67.79,80.63,1.47,32.21,3328,18,1581,1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,1.024,2.859,9.291,0.954,0.715,0.448,6.152,6.248,1.336,5.28,15.999,0.26,0.062,0.202,1.304,11.972,2.49,9.376,25.954,FireSmokeDataset,resnet50_int8_raw
alexnet,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.48,98.86,99.25,99.05,4.58,0.75,4872,56,37,1168,0.208,0.03,0.181,0.819,0.004,0.002,0.002,0.089,0.03,0.007,0.023,0.234,1.654,0.702,0.817,6.566,0.828,0.592,0.481,5.792,4.497,0.751,4.045,9.527,0.227,0.041,0.197,0.872,7.655,1.574,6.117,17.76,FireSmokeDataset,alexnet_int8_crops1
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.63,99.06,99.23,99.15,3.76,0.77,4871,46,38,1178,0.216,0.041,0.189,1.076,0.004,0.003,0.002,0.116,0.048,0.01,0.038,0.382,4.618,2.116,1.846,20.125,1.785,1.381,0.781,11.845,4.814,1.139,4.041,12.297,0.24,0.052,0.2,1.116,12.142,3.866,7.926,31.464,FireSmokeDataset,resnet18_int8_crops3
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.21,98.45,99.33,98.88,6.29,0.67,4876,77,33,1147,0.21,0.021,0.186,0.563,0.005,0.002,0.003,0.107,0.047,0.008,0.038,0.181,3.684,1.527,1.82,14.305,1.135,0.544,0.763,6.144,7.457,0.662,6.942,19.166,0.231,0.021,0.204,0.624,13.156,1.995,10.671,32.962,FireSmokeDataset,alexnet_tensorrt_crops3
vgg16,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.43,99.24,98.8,99.02,3.02,1.2,4850,37,59,1187,0.278,0.038,0.198,0.929,0.006,0.002,0.004,0.098,0.073,0.02,0.042,0.614,5.987,2.738,2.191,17.967,3.058,2.298,0.924,11.196,31.307,7.811,19.991,61.296,0.342,0.057,0.231,1.398,41.583,9.275,24.616,72.938,FireSmokeDataset,vgg16_tensorrt_crops3
resnet50,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,72.79,99.45,66.37,79.61,1.47,33.63,3258,18,1651,1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.559,0.648,2.919,8.849,0.9,0.675,0.458,5.705,25.935,5.507,21.185,261.394,1.49,0.874,1.076,7.712,33.675,6.251,27.854,274.289,FireSmokeDataset,resnet50_pytorch_raw
alexnet,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,84.58,97.51,82.85,89.58,8.5,17.15,4067,104,842,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.339,0.505,2.874,7.917,0.653,0.402,0.465,3.799,4.38,0.46,4.028,9.815,0.223,0.021,0.201,0.847,8.823,1.019,8.03,18.324,FireSmokeDataset,alexnet_int8_raw
vgg16,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.43,99.24,98.8,99.02,3.02,1.2,4850,37,59,1187,0.289,0.043,0.205,1.429,0.006,0.003,0.004,0.109,0.076,0.019,0.043,0.56,6.988,3.149,2.257,30.78,3.987,2.591,0.887,23.027,84.478,10.757,73.166,137.808,2.418,0.853,1.25,8.607,99.918,13.413,81.872,173.203,FireSmokeDataset,vgg16_pytorch_crops3
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.57,99.06,99.14,99.1,3.76,0.86,4867,46,42,1178,0.244,0.063,0.178,0.924,0.005,0.002,0.002,0.085,0.053,0.018,0.04,0.694,4.881,2.35,1.783,17.962,1.913,1.477,0.783,9.859,8.208,1.813,4.336,18.455,0.271,0.07,0.205,1.243,16.018,4.68,8.424,37.21,FireSmokeDataset,resnet18_tensorrt_crops3
vgg16,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.58,99.47,98.76,99.11,2.12,1.24,4848,26,61,1198,0.235,0.046,0.185,2.429,0.005,0.002,0.003,0.051,0.035,0.01,0.024,0.401,1.965,0.847,0.916,5.807,1.222,1.0,0.533,7.409,12.319,3.109,5.943,31.791,0.283,0.053,0.205,1.065,16.306,4.201,8.233,45.858,FireSmokeDataset,vgg16_int8_crops1
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,97.55,98.33,98.61,98.47,6.7,1.39,4841,82,68,1142,0.225,0.026,0.195,0.622,0.005,0.008,0.003,0.598,0.051,0.012,0.042,0.417,5.034,2.318,2.046,18.046,2.211,1.852,0.809,13.974,31.301,4.679,25.807,51.267,1.657,0.809,1.163,7.979,42.256,7.385,32.235,79.353,FireSmokeDataset,resnet34_pytorch_crops3
