model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,84.23,90.94,84.16,87.42,15.64,15.84,1254,125,236,674,0.22,0.032,0.191,0.923,0.004,0.001,0.003,0.033,0.05,0.011,0.041,0.431,4.904,2.346,1.864,18.035,1.766,1.386,0.812,8.009,45.519,8.613,30.939,73.215,1.899,0.786,1.237,6.985,56.197,10.236,38.463,94.72
resnet34,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,55.48,90.39,35.37,50.84,7.01,64.63,527,56,963,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153,1.61,2.897,14.046,1.015,0.797,0.476,6.889,33.273,6.196,18.149,62.452,1.703,0.782,1.088,7.447,41.88,7.474,24.626,74.154
resnet34,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.19,94.34,83.83,88.77,9.39,16.17,1249,75,241,724,0.216,0.034,0.183,0.959,0.006,0.002,0.003,0.063,0.032,0.021,0.024,0.618,2.152,1.138,0.826,14.938,1.262,1.084,0.473,6.018,7.234,1.459,6.319,16.124,0.252,0.051,0.199,0.727,11.376,2.895,8.343,31.141
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,84.19,90.93,84.09,87.38,15.64,15.91,1253,125,237,674,0.219,0.036,0.187,0.985,0.005,0.003,0.003,0.063,0.05,0.023,0.041,0.688,5.104,2.599,1.805,16.411,1.845,1.475,0.802,9.808,12.336,2.388,6.59,28.201,0.262,0.058,0.212,0.833,20.243,5.271,14.777,46.64
resnet34,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,55.44,90.24,35.37,50.82,7.13,64.63,527,57,963,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215,1.635,2.892,14.015,1.006,0.809,0.44,4.859,7.257,1.392,6.425,15.941,0.255,0.055,0.201,0.863,12.976,3.057,10.4,29.995
resnet50,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,83.88,96.75,77.85,86.28,4.88,22.15,1160,39,330,760,0.215,0.035,0.188,1.04,0.005,0.002,0.003,0.067,0.032,0.006,0.026,0.145,2.324,1.279,0.844,10.504,1.35,1.159,0.489,9.993,6.153,1.2,5.291,13.645,0.256,0.062,0.199,0.904,10.56,2.895,7.521,24.095
resnet50,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,81.3,92.41,77.65,84.39,11.89,22.35,1157,95,333,704,0.218,0.031,0.19,0.983,0.005,0.002,0.003,0.046,0.049,0.01,0.04,0.223,5.136,2.653,1.854,20.306,1.861,1.498,0.779,11.413,9.602,1.767,8.533,19.2,0.251,0.045,0.211,0.98,17.551,4.797,12.495,42.463
resnet50,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,45.83,95.29,17.65,29.78,1.63,82.35,263,13,1227,786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,1.68,2.872,15.487,1.051,0.839,0.428,5.388,6.159,1.196,5.342,14.175,0.257,0.057,0.201,0.832,11.991,2.922,9.336,27.885
resnet50,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,83.62,95.96,78.12,86.13,6.13,21.88,1164,49,326,750,0.22,0.034,0.194,0.97,0.005,0.003,0.003,0.142,0.033,0.006,0.025,0.102,2.107,1.01,0.868,16.246,1.228,1.031,0.487,6.857,35.085,6.388,21.758,105.336,1.54,0.77,1.108,7.807,42.114,7.654,26.823,112.11
resnet50,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,80.95,91.37,78.12,84.23,13.77,21.88,1164,110,326,689,0.216,0.022,0.188,0.627,0.004,0.001,0.003,0.049,0.048,0.012,0.04,0.426,4.805,2.228,1.868,15.973,1.674,1.291,0.819,10.063,53.958,9.229,43.273,88.688,1.721,0.737,1.213,7.72,64.403,10.473,50.269,101.125
