model,backend,precision,crop_mode,num_crops,crop_factors,dataset_view,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
resnet18,pytorch,FP32,raw,1,raw,FireSmokeNEW,1987,75.84,95.12,67.37,78.87,7.0,32.63,896,46,434,611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.753,0.772,2.941,14.23,0.97,0.707,0.5,4.303,19.676,6.41,10.194,51.641,2.014,1.448,1.095,7.718,27.765,7.425,16.102,71.127
resnet18,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,76.55,98.07,70.88,82.29,4.63,29.12,4422,87,1817,1794,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.723,0.741,2.901,14.230,0.935,0.686,0.483,4.859,19.886,6.417,9.985,102.468,1.940,1.383,1.045,8.706,27.838,7.441,15.866,119.733
resnet18,pytorch,FP32,raw,1,raw,IAI_original,2592,36.88,86.51,10.37,18.53,3.63,89.63,186,29,1607,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.906,0.947,2.899,11.825,1.132,0.898,0.46,7.436,19.038,5.081,10.073,51.375,1.639,1.238,1.05,9.33,27.086,7.109,15.987,67.191
resnet18,pytorch,FP32,raw,1,raw,IAI_filtered,2289,41.76,86.51,12.48,21.82,3.63,87.52,186,29,1304,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.906,0.947,2.899,11.825,1.132,0.898,0.46,7.436,19.038,5.081,10.073,51.375,1.639,1.238,1.05,9.33,27.086,7.109,15.987,67.191
resnet18,tensorrt,FP16,crops,1,[1.4142],FireSmoke,6133,98.71,99.29,99.1,99.19,2.86,0.9,4865,35,44,1189,0.213,0.047,0.175,1.143,0.005,0.002,0.002,0.054,0.032,0.013,0.022,0.621,1.862,0.839,0.843,6.943,1.128,0.942,0.467,7.088,5.01,1.088,4.248,12.161,0.241,0.063,0.196,1.273,8.712,2.312,6.501,21.379
resnet18,tensorrt,FP16,crops,1,[1.4142],FireSmokeNEW,1987,97.53,97.27,99.1,98.18,5.63,0.9,1318,37,12,620,0.219,0.054,0.184,1.192,0.005,0.003,0.003,0.07,0.033,0.009,0.024,0.189,1.943,0.935,0.882,6.051,1.152,0.927,0.471,5.903,5.083,1.165,4.304,14.624,0.244,0.062,0.193,0.999,8.9,2.359,6.452,23.657
resnet18,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,98.42,98.85,99.10,98.98,3.83,0.90,6183,72,56,1809,0.214,0.049,0.175,1.192,0.005,0.002,0.002,0.070,0.032,0.012,0.022,0.621,1.882,0.862,0.843,6.943,1.134,0.938,0.467,7.088,5.028,1.107,4.248,14.624,0.242,0.063,0.193,1.273,8.758,2.324,6.452,23.657
resnet18,tensorrt,FP16,crops,1,[1.4142],IAI_original,2592,74.27,97.15,64.7,77.67,4.26,35.3,1160,34,633,765,0.217,0.033,0.183,1.016,0.006,0.011,0.003,0.571,0.033,0.021,0.024,0.644,2.169,0.964,0.841,7.095,1.374,1.172,0.476,8.262,5.076,1.114,4.302,13.796,0.257,0.064,0.198,0.902,9.358,2.658,6.465,23.674
resnet18,tensorrt,FP16,crops,1,[1.4142],IAI_filtered,2289,84.1,97.15,77.85,86.44,4.26,22.15,1160,34,330,765,0.217,0.033,0.183,1.016,0.006,0.011,0.003,0.571,0.033,0.021,0.024,0.644,2.169,0.964,0.841,7.095,1.374,1.172,0.476,8.262,5.076,1.114,4.302,13.796,0.257,0.064,0.198,0.902,9.358,2.658,6.465,23.674
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.57,99.06,99.14,99.1,3.76,0.86,4867,46,42,1178,0.244,0.063,0.178,0.924,0.005,0.002,0.002,0.085,0.053,0.018,0.04,0.694,4.881,2.35,1.783,17.962,1.913,1.477,0.783,9.859,8.208,1.813,4.336,18.455,0.271,0.07,0.205,1.243,16.018,4.68,8.424,37.21
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,96.07,95.23,99.1,97.13,10.05,0.9,1318,66,12,591,0.252,0.096,0.191,3.156,0.006,0.002,0.003,0.052,0.054,0.029,0.04,0.686,4.679,2.147,2.012,14.523,1.894,1.437,0.768,8.99,8.358,1.914,6.876,17.252,0.28,0.072,0.207,0.818,15.969,4.546,10.699,33.875
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.96,98.22,99.13,98.68,5.95,0.87,6185,112,54,1769,0.246,0.071,0.178,3.156,0.005,0.002,0.002,0.085,0.053,0.021,0.040,0.694,4.832,2.300,1.783,17.962,1.908,1.467,0.768,9.859,8.245,1.838,4.336,18.455,0.273,0.070,0.205,1.243,16.006,4.647,8.424,37.210
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,73.07,94.84,64.58,76.84,7.88,35.42,1158,63,635,736,0.215,0.031,0.187,1.154,0.005,0.001,0.003,0.016,0.048,0.009,0.04,0.218,5.305,2.643,1.777,16.035,1.979,1.555,0.783,8.274,7.893,1.46,6.963,16.444,0.248,0.04,0.207,0.693,16.131,4.74,10.737,36.184
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,82.74,94.84,77.72,85.43,7.88,22.28,1158,63,332,736,0.215,0.031,0.187,1.154,0.005,0.001,0.003,0.016,0.048,0.009,0.04,0.218,5.305,2.643,1.777,16.035,1.979,1.555,0.783,8.274,7.893,1.46,6.963,16.444,0.248,0.04,0.207,0.693,16.131,4.74,10.737,36.184
resnet18,tensorrt,FP16,raw,1,raw,FireSmoke,6133,76.78,98.85,71.83,83.2,3.35,28.17,3526,41,1383,1183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.471,0.934,2.878,10.547,1.745,0.88,0.456,7.62,5.07,1.07,4.343,14.06,0.251,0.054,0.196,2.701,11.782,2.257,8.356,24.887
resnet18,tensorrt,FP16,raw,1,raw,FireSmokeNEW,1987,75.74,95.11,67.22,78.77,7.0,32.78,894,46,436,611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.232,1.083,2.898,10.413,1.004,0.749,0.447,5.056,5.219,1.238,4.283,12.199,0.265,0.086,0.2,2.658,10.973,2.453,8.299,22.355
resnet18,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,76.53,98.07,70.84,82.26,4.63,29.16,4420,87,1819,1794,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.413,0.970,2.878,10.547,1.564,0.848,0.447,7.620,5.106,1.111,4.283,14.060,0.254,0.062,0.196,2.701,11.584,2.305,8.299,24.887
resnet18,tensorrt,FP16,raw,1,raw,IAI_original,2592,36.88,86.51,10.37,18.53,3.63,89.63,186,29,1607,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276,1.66,2.868,13.887,1.047,0.856,0.447,6.124,5.03,1.011,4.324,11.755,0.257,0.066,0.198,0.987,10.855,2.804,8.362,26.149
resnet18,tensorrt,FP16,raw,1,raw,IAI_filtered,2289,41.76,86.51,12.48,21.82,3.63,87.52,186,29,1304,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276,1.66,2.868,13.887,1.047,0.856,0.447,6.124,5.03,1.011,4.324,11.755,0.257,0.066,0.198,0.987,10.855,2.804,8.362,26.149
resnet34,int8,INT8,crops,1,[1.4142],FireSmoke,6133,97.85,98.73,98.57,98.65,5.07,1.43,4839,62,70,1162,0.214,0.039,0.179,0.906,0.005,0.003,0.002,0.087,0.032,0.009,0.023,0.207,1.893,0.828,0.817,7.15,1.148,0.932,0.482,6.301,5.016,1.028,4.275,11.676,0.249,0.061,0.198,1.01,8.772,2.222,6.479,20.276
resnet34,int8,INT8,crops,1,[1.4142],FireSmokeNEW,1987,94.16,92.87,98.87,95.78,15.37,1.13,1315,101,15,556,0.21,0.043,0.18,0.945,0.004,0.002,0.003,0.045,0.032,0.007,0.024,0.104,1.906,0.878,0.815,6.913,1.129,0.92,0.49,6.891,5.077,1.196,4.316,12.726,0.242,0.053,0.197,0.972,8.817,2.346,6.43,22.626
resnet34,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,96.95,97.42,98.64,98.02,8.67,1.36,6154,163,85,1718,0.213,0.040,0.179,0.945,0.005,0.003,0.002,0.087,0.032,0.009,0.023,0.207,1.896,0.840,0.815,7.150,1.143,0.929,0.482,6.891,5.031,1.069,4.275,12.726,0.247,0.059,0.197,1.010,8.783,2.252,6.430,22.626
resnet34,int8,INT8,crops,1,[1.4142],IAI_original,2592,75.54,94.54,68.6,79.51,8.89,31.4,1230,71,563,728,0.216,0.029,0.185,0.962,0.005,0.003,0.003,0.074,0.032,0.006,0.025,0.115,2.175,0.981,0.839,6.637,1.359,1.157,0.482,7.661,5.089,1.064,4.247,11.725,0.258,0.063,0.195,0.895,9.359,2.643,6.369,21.151
resnet34,int8,INT8,crops,1,[1.4142],IAI_filtered,2289,85.54,94.54,82.55,88.14,8.89,17.45,1230,71,260,728,0.216,0.029,0.185,0.962,0.005,0.003,0.003,0.074,0.032,0.006,0.025,0.115,2.175,0.981,0.839,6.637,1.359,1.157,0.482,7.661,5.089,1.064,4.247,11.725,0.258,0.063,0.195,0.895,9.359,2.643,6.369,21.151
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,97.51,98.37,98.51,98.44,6.54,1.49,4836,80,73,1144,0.239,0.058,0.19,0.998,0.005,0.004,0.003,0.245,0.051,0.017,0.038,0.655,4.812,2.24,1.795,17.385,1.861,1.419,0.773,8.783,7.348,1.713,4.008,17.104,0.267,0.062,0.211,0.94,15.018,4.421,8.005,37.702
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,93.11,91.39,99.02,95.06,18.87,0.98,1317,124,13,533,0.242,0.062,0.188,0.953,0.005,0.003,0.003,0.081,0.053,0.02,0.04,0.618,4.682,2.048,1.779,22.12,1.911,1.424,0.781,11.496,7.47,1.82,6.233,16.843,0.275,0.073,0.211,0.934,15.074,4.297,9.853,34.774
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.43,96.79,98.62,97.70,10.85,1.38,6153,204,86,1677,0.240,0.059,0.188,0.998,0.005,0.004,0.003,0.245,0.051,0.018,0.038,0.655,4.780,2.193,1.779,22.120,1.873,1.420,0.773,11.496,7.378,1.739,4.008,17.104,0.269,0.065,0.211,0.940,15.032,4.391,8.005,37.702
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,73.38,90.76,68.49,78.07,15.64,31.51,1228,125,565,674,0.216,0.025,0.189,0.454,0.005,0.002,0.003,0.054,0.048,0.008,0.04,0.142,5.141,2.498,1.785,22.387,1.839,1.487,0.767,10.271,7.044,1.312,6.184,15.119,0.256,0.042,0.217,0.589,14.968,4.274,10.0,34.997
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,83.09,90.76,82.42,86.39,15.64,17.58,1228,125,262,674,0.216,0.025,0.189,0.454,0.005,0.002,0.003,0.054,0.048,0.008,0.04,0.142,5.141,2.498,1.785,22.387,1.839,1.487,0.767,10.271,7.044,1.312,6.184,15.119,0.256,0.042,0.217,0.589,14.968,4.274,10.0,34.997
resnet34,int8,INT8,raw,1,raw,FireSmoke,6133,77.99,98.63,73.52,84.24,4.08,26.48,3609,50,1300,1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.029,0.989,2.892,9.727,0.968,0.722,0.468,5.275,5.088,1.09,4.282,12.305,0.254,0.067,0.199,1.38,10.586,2.254,8.358,22.51
resnet34,int8,INT8,raw,1,raw,FireSmokeNEW,1987,77.81,93.28,72.03,81.29,10.5,27.97,958,69,372,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.078,0.996,2.879,11.208,0.954,0.716,0.457,4.495,5.096,1.131,4.254,11.505,0.251,0.055,0.203,0.773,10.621,2.263,8.323,22.412
resnet34,int8,INT8,raw,1,raw,SmokeFire_unified,8120,77.94,97.46,73.20,83.61,6.33,26.80,4567,119,1672,1762,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.041,0.991,2.879,11.208,0.965,0.721,0.457,5.275,5.090,1.100,4.254,12.305,0.253,0.064,0.199,1.380,10.595,2.256,8.323,22.510
resnet34,int8,INT8,raw,1,raw,IAI_original,2592,48.11,90.73,27.83,42.59,6.38,72.17,499,51,1294,748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393,1.741,2.88,14.305,1.063,0.839,0.463,4.951,5.065,1.018,4.322,12.165,0.258,0.062,0.202,1.172,11.029,2.812,8.34,26.07
resnet34,int8,INT8,raw,1,raw,IAI_filtered,2289,54.48,90.73,33.49,48.92,6.38,66.51,499,51,991,748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393,1.741,2.88,14.305,1.063,0.839,0.463,4.951,5.065,1.018,4.322,12.165,0.258,0.062,0.202,1.172,11.029,2.812,8.34,26.07
resnet34,pytorch,FP32,crops,1,[1.4142],FireSmoke,6133,97.93,98.7,98.72,98.71,5.23,1.28,4846,64,63,1160,0.229,0.044,0.199,2.671,0.005,0.003,0.003,0.15,0.035,0.01,0.026,0.316,2.289,1.065,0.874,11.615,1.929,1.505,0.506,14.663,24.375,4.765,18.156,112.279,1.827,1.08,1.053,7.842,32.242,6.625,22.631,125.065
resnet34,pytorch,FP32,crops,1,[1.4142],FireSmokeNEW,1987,94.21,92.87,98.95,95.81,15.37,1.05,1316,101,14,556,0.209,0.02,0.181,0.542,0.004,0.001,0.003,0.013,0.033,0.011,0.025,0.399,1.759,0.827,0.856,5.407,1.02,0.798,0.515,7.041,23.735,4.224,18.406,57.783,1.438,0.844,1.058,6.605,29.626,5.451,22.784,67.046
resnet34,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,97.02,97.39,98.77,98.07,8.77,1.23,6162,165,77,1716,0.224,0.038,0.181,2.671,0.005,0.003,0.003,0.150,0.035,0.010,0.025,0.399,2.159,1.007,0.856,11.615,1.707,1.332,0.506,14.663,24.218,4.633,18.156,112.279,1.732,1.022,1.053,7.842,31.602,6.338,22.631,125.065
resnet34,pytorch,FP32,crops,1,[1.4142],IAI_original,2592,76.16,94.34,69.72,80.18,9.39,30.28,1250,75,543,724,0.223,0.027,0.196,0.53,0.005,0.003,0.003,0.151,0.033,0.007,0.026,0.135,2.072,0.881,0.885,7.599,1.227,1.024,0.515,6.035,33.421,6.43,18.438,63.125,1.756,0.741,1.104,7.255,40.382,7.548,22.919,72.621
resnet34,pytorch,FP32,crops,1,[1.4142],IAI_filtered,2289,86.24,94.34,83.89,88.81,9.39,16.11,1250,75,240,724,0.223,0.027,0.196,0.53,0.005,0.003,0.003,0.151,0.033,0.007,0.026,0.135,2.072,0.881,0.885,7.599,1.227,1.024,0.515,6.035,33.421,6.43,18.438,63.125,1.756,0.741,1.104,7.255,40.382,7.548,22.919,72.621
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,97.55,98.33,98.61,98.47,6.7,1.39,4841,82,68,1142,0.225,0.026,0.195,0.622,0.005,0.008,0.003,0.598,0.051,0.012,0.042,0.417,5.034,2.318,2.046,18.046,2.211,1.852,0.809,13.974,31.301,4.679,25.807,51.267,1.657,0.809,1.163,7.979,42.256,7.385,32.235,79.353
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,93.31,91.65,99.02,95.19,18.26,0.98,1317,120,13,537,0.223,0.022,0.198,0.588,0.005,0.002,0.002,0.048,0.051,0.011,0.041,0.345,4.689,2.109,2.123,21.019,1.951,1.526,0.816,10.762,30.604,4.885,25.857,51.814,1.628,0.803,1.176,6.269,40.961,7.078,32.183,85.901
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.51,96.82,98.70,97.75,10.74,1.30,6158,202,81,1679,0.225,0.025,0.195,0.622,0.005,0.007,0.002,0.598,0.051,0.012,0.041,0.417,4.950,2.267,2.046,21.019,2.147,1.772,0.809,13.974,31.130,4.729,25.807,51.814,1.650,0.808,1.163,7.979,41.939,7.310,32.183,85.901
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,74.38,90.94,69.94,79.07,15.64,30.06,1254,125,539,674,0.22,0.032,0.191,0.923,0.004,0.001,0.003,0.033,0.05,0.011,0.041,0.431,4.904,2.346,1.864,18.035,1.766,1.386,0.812,8.009,45.519,8.613,30.939,73.215,1.899,0.786,1.237,6.985,56.197,10.236,38.463,94.72
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,84.23,90.94,84.16,87.42,15.64,15.84,1254,125,236,674,0.22,0.032,0.191,0.923,0.004,0.001,0.003,0.033,0.05,0.011,0.041,0.431,4.904,2.346,1.864,18.035,1.766,1.386,0.812,8.009,45.519,8.613,30.939,73.215,1.899,0.786,1.237,6.985,56.197,10.236,38.463,94.72
resnet34,pytorch,FP32,raw,1,raw,FireSmoke,6133,78.35,98.75,73.88,84.53,3.76,26.12,3627,46,1282,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.293,1.219,2.928,15.935,1.582,1.23,0.482,11.373,26.218,5.67,18.123,105.907,1.82,1.105,1.077,7.728,35.552,7.31,24.452,116.219
resnet34,pytorch,FP32,raw,1,raw,FireSmokeNEW,1987,78.16,93.5,72.41,81.61,10.2,27.59,963,67,367,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572,0.639,2.881,7.069,0.897,0.647,0.485,5.3,26.303,4.697,18.199,59.859,1.53,0.941,1.078,6.965,33.867,5.654,24.598,72.164
resnet34,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,78.30,97.60,73.57,83.90,6.01,26.43,4590,113,1649,1768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.117,1.077,2.881,15.935,1.414,1.087,0.482,11.373,26.239,5.432,18.123,105.907,1.749,1.065,1.077,7.728,35.140,6.905,24.452,116.219
resnet34,pytorch,FP32,raw,1,raw,IAI_original,2592,49.0,90.39,29.39,44.36,7.01,70.61,527,56,1266,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153,1.61,2.897,14.046,1.015,0.797,0.476,6.889,33.273,6.196,18.149,62.452,1.703,0.782,1.088,7.447,41.88,7.474,24.626,74.154
resnet34,pytorch,FP32,raw,1,raw,IAI_filtered,2289,55.48,90.39,35.37,50.84,7.01,64.63,527,56,963,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153,1.61,2.897,14.046,1.015,0.797,0.476,6.889,33.273,6.196,18.149,62.452,1.703,0.782,1.088,7.447,41.88,7.474,24.626,74.154
resnet34,tensorrt,FP16,crops,1,[1.4142],FireSmoke,6133,97.91,98.68,98.72,98.7,5.31,1.28,4846,65,63,1159,0.236,0.058,0.188,0.978,0.005,0.008,0.003,0.569,0.035,0.012,0.025,0.492,1.921,0.901,0.807,6.796,1.131,0.905,0.477,7.507,7.352,1.603,4.023,19.574,0.268,0.077,0.202,1.615,11.173,2.707,6.684,27.467
resnet34,tensorrt,FP16,crops,1,[1.4142],FireSmokeNEW,1987,94.26,92.88,99.02,95.85,15.37,0.98,1317,101,13,556,0.238,0.062,0.181,0.895,0.006,0.002,0.002,0.054,0.037,0.023,0.025,0.698,2.001,0.914,0.82,6.671,1.179,0.91,0.495,7.112,7.357,1.534,6.233,16.394,0.269,0.076,0.203,0.85,11.314,2.613,8.52,22.992
resnet34,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,97.02,97.38,98.78,98.07,8.83,1.22,6163,166,76,1715,0.236,0.059,0.181,0.978,0.005,0.007,0.002,0.569,0.035,0.015,0.025,0.698,1.941,0.904,0.807,6.796,1.143,0.906,0.477,7.507,7.353,1.586,4.023,19.574,0.268,0.077,0.202,1.615,11.208,2.684,6.684,27.467
resnet34,tensorrt,FP16,crops,1,[1.4142],IAI_original,2592,76.12,94.34,69.66,80.14,9.39,30.34,1249,75,544,724,0.216,0.034,0.183,0.959,0.006,0.002,0.003,0.063,0.032,0.021,0.024,0.618,2.152,1.138,0.826,14.938,1.262,1.084,0.473,6.018,7.234,1.459,6.319,16.124,0.252,0.051,0.199,0.727,11.376,2.895,8.343,31.141
resnet34,tensorrt,FP16,crops,1,[1.4142],IAI_filtered,2289,86.19,94.34,83.83,88.77,9.39,16.17,1249,75,241,724,0.216,0.034,0.183,0.959,0.006,0.002,0.003,0.063,0.032,0.021,0.024,0.618,2.152,1.138,0.826,14.938,1.262,1.084,0.473,6.018,7.234,1.459,6.319,16.124,0.252,0.051,0.199,0.727,11.376,2.895,8.343,31.141
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,97.55,98.33,98.61,98.47,6.7,1.39,4841,82,68,1142,0.308,0.077,0.194,1.872,0.006,0.003,0.003,0.124,0.066,0.032,0.042,1.475,6.164,2.981,1.906,22.838,2.391,1.682,0.803,10.988,15.187,4.488,6.417,31.063,0.385,0.113,0.217,1.551,25.045,7.049,10.774,51.623
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,93.36,91.66,99.1,95.23,18.26,0.9,1318,120,12,537,0.311,0.081,0.191,1.045,0.006,0.004,0.003,0.119,0.065,0.024,0.04,0.653,5.852,2.767,2.158,28.022,2.334,1.67,0.85,9.543,15.229,4.329,6.429,31.14,0.386,0.116,0.226,2.548,24.72,6.83,10.974,50.046
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.53,96.82,98.72,97.76,10.74,1.28,6159,202,80,1679,0.309,0.078,0.191,1.872,0.006,0.003,0.003,0.124,0.066,0.030,0.040,1.475,6.088,2.929,1.906,28.022,2.377,1.679,0.803,10.988,15.197,4.449,6.417,31.140,0.385,0.114,0.217,2.548,24.965,6.995,10.774,51.623
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,74.34,90.93,69.88,79.03,15.64,30.12,1253,125,540,674,0.219,0.036,0.187,0.985,0.005,0.003,0.003,0.063,0.05,0.023,0.041,0.688,5.104,2.599,1.805,16.411,1.845,1.475,0.802,9.808,12.336,2.388,6.59,28.201,0.262,0.058,0.212,0.833,20.243,5.271,14.777,46.64
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,84.19,90.93,84.09,87.38,15.64,15.91,1253,125,237,674,0.219,0.036,0.187,0.985,0.005,0.003,0.003,0.063,0.05,0.023,0.041,0.688,5.104,2.599,1.805,16.411,1.845,1.475,0.802,9.808,12.336,2.388,6.59,28.201,0.262,0.058,0.212,0.833,20.243,5.271,14.777,46.64
resnet34,tensorrt,FP16,raw,1,raw,FireSmoke,6133,78.28,98.75,73.8,84.47,3.76,26.2,3623,46,1286,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.883,1.261,2.896,12.333,1.097,0.767,0.44,12.644,7.84,1.732,4.025,17.374,0.305,0.084,0.203,1.872,14.41,2.99,8.357,29.015
resnet34,tensorrt,FP16,raw,1,raw,FireSmokeNEW,1987,78.16,93.5,72.41,81.61,10.2,27.59,963,67,367,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.976,1.254,2.894,9.591,1.123,0.759,0.463,5.173,7.97,1.827,4.015,17.975,0.315,0.09,0.204,1.665,14.672,3.069,8.049,27.89
resnet34,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,78.25,97.60,73.51,83.85,6.01,26.49,4586,113,1653,1768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.906,1.259,2.894,12.333,1.103,0.765,0.440,12.644,7.872,1.755,4.015,17.975,0.307,0.085,0.203,1.872,14.474,3.009,8.049,29.015
resnet34,tensorrt,FP16,raw,1,raw,IAI_original,2592,48.96,90.24,29.39,44.34,7.13,70.61,527,57,1266,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215,1.635,2.892,14.015,1.006,0.809,0.44,4.859,7.257,1.392,6.425,15.941,0.255,0.055,0.201,0.863,12.976,3.057,10.4,29.995
resnet34,tensorrt,FP16,raw,1,raw,IAI_filtered,2289,55.44,90.24,35.37,50.82,7.13,64.63,527,57,963,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215,1.635,2.892,14.015,1.006,0.809,0.44,4.859,7.257,1.392,6.425,15.941,0.255,0.055,0.201,0.863,12.976,3.057,10.4,29.995
resnet50,int8,INT8,crops,1,[1.4142],FireSmoke,6133,98.86,99.67,98.9,99.28,1.31,1.1,4855,16,54,1208,0.221,0.049,0.181,1.022,0.005,0.002,0.003,0.043,0.033,0.011,0.023,0.421,1.892,0.84,0.8,6.546,1.126,0.929,0.481,8.391,6.079,1.191,5.258,15.703,0.25,0.06,0.2,0.929,9.824,2.389,7.574,24.802
resnet50,int8,INT8,crops,1,[1.4142],FireSmokeNEW,1987,98.14,98.28,98.95,98.61,3.5,1.05,1316,23,14,634,0.221,0.05,0.181,0.853,0.004,0.002,0.003,0.075,0.033,0.016,0.024,0.579,1.953,0.932,0.804,6.771,1.129,0.932,0.485,5.312,6.11,1.29,5.398,14.469,0.251,0.062,0.201,0.869,9.921,2.541,7.54,23.377
resnet50,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,98.68,99.37,98.91,99.14,2.07,1.09,6171,39,68,1842,0.221,0.049,0.181,1.022,0.005,0.002,0.003,0.075,0.033,0.012,0.023,0.579,1.907,0.863,0.800,6.771,1.127,0.930,0.481,8.391,6.087,1.215,5.258,15.703,0.250,0.060,0.200,0.929,9.848,2.426,7.540,24.802
