model,backend,precision,crop_mode,num_crops,crop_factors,dataset_view,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.21,98.45,99.33,98.88,6.29,0.67,4876,77,33,1147,0.236,0.025,0.198,1.03,0.005,0.003,0.003,0.22,0.057,0.011,0.041,0.509,4.01,1.663,2.192,19.685,1.274,0.675,0.894,8.214,21.024,5.91,9.169,40.101,1.718,0.464,1.178,10.009,29.613,6.413,15.423,51.337
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,92.9,91.09,99.1,94.92,19.63,0.9,1318,129,12,528,0.244,0.035,0.202,0.932,0.005,0.002,0.003,0.053,0.058,0.01,0.042,0.187,4.49,2.286,2.137,17.532,1.764,1.478,0.931,11.077,21.418,6.429,9.223,44.03,1.917,0.819,1.267,8.042,31.203,7.918,15.569,66.849
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.91,96.78,99.28,98.01,10.95,0.72,6194,206,45,1675,0.238,0.027,0.198,1.030,0.005,0.003,0.003,0.220,0.057,0.011,0.041,0.509,4.127,1.815,2.137,19.685,1.394,0.871,0.894,11.077,21.120,6.037,9.169,44.030,1.767,0.551,1.178,10.009,30.002,6.781,15.423,66.849
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,76.16,96.3,68.15,79.82,5.88,31.85,1222,47,571,752,0.218,0.026,0.189,0.479,0.005,0.011,0.002,0.567,0.049,0.018,0.039,0.663,4.197,1.912,1.804,14.28,1.215,0.718,0.82,7.11,18.05,1.117,17.06,29.36,1.888,0.51,1.208,3.906,26.877,2.887,22.859,41.467
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,86.24,96.3,82.01,88.58,5.88,17.99,1222,47,268,752,0.218,0.026,0.189,0.479,0.005,0.011,0.002,0.567,0.049,0.018,0.039,0.663,4.197,1.912,1.804,14.28,1.215,0.718,0.82,7.11,18.05,1.117,17.06,29.36,1.888,0.51,1.208,3.906,26.877,2.887,22.859,41.467
alexnet,pytorch,FP32,raw,1,raw,FireSmoke,6133,84.33,97.5,82.54,89.4,8.5,17.46,4052,104,857,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.649,0.591,2.931,10.182,0.795,0.506,0.522,6.26,17.65,5.519,7.447,134.378,1.663,0.481,1.08,7.58,24.885,5.839,13.991,150.357
alexnet,pytorch,FP32,raw,1,raw,FireSmokeNEW,1987,79.11,90.31,77.07,83.16,16.74,22.93,1025,110,305,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.671,0.528,3.027,8.995,0.782,0.485,0.512,5.48,17.469,5.15,7.923,45.897,1.694,0.491,1.151,7.11,24.718,5.421,16.947,55.565
alexnet,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,83.05,95.96,81.38,88.07,11.38,18.62,5077,214,1162,1667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.654,0.576,2.931,10.182,0.792,0.501,0.512,6.260,17.606,5.429,7.447,134.378,1.671,0.483,1.080,7.580,24.844,5.737,13.991,150.357
alexnet,pytorch,FP32,raw,1,raw,IAI_original,2592,42.13,92.46,17.79,29.84,3.25,82.21,319,26,1474,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165,1.471,2.908,18.355,1.093,0.89,0.451,7.763,17.283,5.81,7.204,39.834,1.917,1.385,1.077,9.376,25.498,7.895,12.955,57.752
alexnet,pytorch,FP32,raw,1,raw,IAI_filtered,2289,47.71,92.46,21.41,34.77,3.25,78.59,319,26,1171,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165,1.471,2.908,18.355,1.093,0.89,0.451,7.763,17.283,5.81,7.204,39.834,1.917,1.385,1.077,9.376,25.498,7.895,12.955,57.752
